date,N0,LA,M0L
2025-02-01,17445.510401469397,19848.71960652495,19816.0953270524
2025-02-02,61929.829747453725,62371.13591897616,62062.33133346871
2025-02-03,66958.49020397519,66214.56236615915,66336.5340439193
2025-02-04,63335.3751257468,64445.62130054667,63136.96081142267
2025-02-05,73383.29289694916,63769.26841543193,72770.75186190195
2025-02-06,66359.30349317241,64069.32916295179,65904.04764852623
2025-02-07,19375.126669937003,19678.8815826451,20237.688072175035
2025-02-08,17158.591797188754,15341.860680174252,15259.44485355293
2025-02-09,62618.665176090275,61640.0765356125,63646.12270123671
2025-02-10,55896.8451285623,55225.12620085205,55730.19787385597
2025-02-11,67843.01007262683,58688.98634820711,59572.11603506234
2025-02-12,56261.72200981433,62385.6070127523,57383.87550653432
2025-02-13,52680.62788322228,51712.187241406515,51815.33620905665
2025-02-14,15248.581668130399,15360.010398328199,15289.939012006002
2025-02-15,15679.6623814684,15618.709468066365,15622.329783271402
2025-02-16,58935.96609362979,58075.19960268775,59573.167691159186
2025-02-17,58390.34579982558,54377.51607601196,54634.2215715605
2025-02-18,78648.43055019887,54508.513292927506,78066.26440908732
2025-02-19,70411.8128466479,56867.29524567849,70165.04673007297
2025-02-20,54209.730172681004,52699.96205835654,53886.14741770014
2025-02-21,15156.824299800803,15177.2772593553,15261.291970627799
2025-02-22,14913.239205798902,15353.543259758952,15117.520377991901
2025-02-23,55646.94739613345,52244.92986420176,55574.649511995915
2025-02-24,50498.879864235634,49759.666153268554,50613.531499636636
2025-02-25,53394.70438762184,47939.62640424067,49208.07138984883
2025-02-26,72188.60124226724,51988.601094764344,72220.31681999622
2025-02-27,51921.978551885506,46879.77878509903,51149.09170324152
2025-02-28,14344.3485856606,13746.509224005598,13938.803785978602
2025-03-01,14988.7773319532,17391.94747937676,15771.7310398842
2025-03-02,56061.406048753764,58245.472565634234,58936.946873163055
2025-03-03,58858.31057279811,53395.76227233561,54500.44207956452
2025-03-04,70504.87434187307,50158.1826921685,69549.21753263962
2025-03-05,48636.37308482024,47771.327493498284,48750.74091617724
2025-03-06,46980.794334208724,45223.46026684989,46314.04175933063
2025-03-07,14535.792196248498,14320.171625279698,13908.2060432145
2025-03-08,14149.890771613482,14735.868703627064,14376.181848937087
2025-03-09,45742.55412185863,45057.54174119846,51237.774633820176
2025-03-10,57224.987696231925,49297.71649836865,56163.01287215123
2025-03-11,94676.86228305553,48141.03196490246,49722.04493687925
2025-03-12,47710.78906527881,45168.272479323394,60901.43920680608
2025-03-13,48840.457096909726,46959.03892830239,47661.966329952724
2025-03-14,12877.5168786718,12649.1064297223,12811.7496118168
2025-03-15,12946.399139013682,14449.9884070231,13837.59205397225
2025-03-16,43309.2478518689,44845.1255346823,46062.52008589415
2025-03-17,41061.66785644184,41591.927415314196,41233.927684925846
2025-03-18,46806.129797900336,41447.19587470617,43195.67870560201
2025-03-19,62287.67370673288,42028.049002091924,42100.327468182746
2025-03-20,48160.614347094226,44186.70092729034,62240.30593412171
2025-03-21,12044.2423192556,12180.702785181928,11514.708016816201
2025-03-22,12528.704519581901,13118.15343048965,13284.528466530599
2025-03-23,43579.316494118226,42577.01201446565,43498.66954486105
2025-03-24,39989.84456190922,39608.148386066394,39332.2123326451
2025-03-25,47350.1037301568,43232.410738540995,45861.73666247547
2025-03-26,42376.37958960852,39766.90729945599,40046.538858168125
2025-03-27,40391.556584908096,39243.9793089529,40976.22270082145
2025-03-28,12187.776018624201,12674.158226291936,11857.676054568201
2025-03-29,12731.51408269954,12961.387877082663,13404.20798888954
2025-03-30,38484.412418712396,38099.7697783297,38956.661854418395
2025-03-31,59216.96468590606,38798.24756901781,42308.36984726165
2025-04-01,52951.29464459747,42938.63192663115,44318.99517325495
2025-04-02,44061.9957447321,43054.88641748421,44115.307467393395
2025-04-03,41568.533643034534,39550.5717499692,39486.03520530771
2025-04-04,11368.6448070496,11419.199114061563,10876.1738131026
2025-04-05,11504.100575473489,13405.208757221022,12971.584978662819
2025-04-06,38793.83609299668,39498.36416121896,38320.09730575669
2025-04-07,46184.33384228225,35446.4028088181,34262.05306823595
2025-04-08,42855.93352407112,38414.5257354772,43358.59340167035
2025-04-09,48083.308245276094,42924.927359316156,42721.97032029554
2025-04-10,37614.863695291584,37224.4781967836,37604.252854875056
2025-04-11,11201.217178266314,11303.022519426695,11483.710209896766
2025-04-12,10726.3664802274,10991.180225164897,10900.3152328694
2025-04-13,41878.38966309722,37523.295366119026,42337.99065144823
2025-04-14,38106.56449543591,36815.00628604932,42078.3569930595
2025-04-15,48819.36816972557,36051.43475522278,41105.42542525242
2025-04-16,44491.273857880165,39452.11081606543,40206.23977254626
2025-04-17,49908.52583197194,36067.90143276828,36102.02364689449
2025-04-18,10525.7953199878,11708.737191386033,10466.5015834148
2025-04-19,10138.666817473562,11283.856241977695,11177.057578032396
2025-04-20,42247.82887950975,36311.57550152683,36148.110161996956
2025-04-21,35387.76947411883,33612.82859107133,35118.0474521494
2025-04-22,56085.18407111545,37026.7373184287,42887.29770087659
2025-04-23,58676.786721219214,35342.36779037949,35434.90699763667
2025-04-24,33084.722408162095,33868.3208179066,32863.34543787466
2025-04-25,9961.151266325523,12050.271736587403,10657.565847880525
2025-04-26,9984.545293881509,10897.395544955109,10675.567459389258
2025-04-27,40632.97713067668,34824.337236797364,38617.926724712845
2025-04-28,38214.55686418927,39154.17376110116,39925.158393428814
2025-04-29,46672.818779494424,34740.2207729233,36707.56077032079
2025-04-30,44939.29675465501,33848.02180934063,41988.61134838096
2025-05-01,52394.62563757223,45728.01324908716,45254.38422976164
2025-05-02,14509.538565908291,15262.436096039472,14504.646657672625
2025-05-03,15870.364886971074,17537.869519048905,17395.405635952906
2025-05-04,42277.592986132746,41247.11612552457,40469.42376226274
2025-05-05,39268.55196045277,39439.27977251953,38847.19098564378
2025-05-06,61341.46157845369,38373.88411308575,43453.848128434016
2025-05-07,56451.28908038551,41213.11721973595,41986.351580779396
2025-05-08,41022.15671812365,37117.894564902366,39517.45852011865
2025-05-09,13033.089386973299,12894.519685961499,13015.5257807893
2025-05-10,11654.396987614404,12032.509016996808,12339.120123760997
2025-05-11,42110.76809895208,41597.926201693306,42389.63057811508
2025-05-12,58748.98661004285,37964.008563858464,38033.53211245257
2025-05-13,47280.82462576551,39139.00920338287,45874.08938658361
2025-05-14,40458.614045882605,36515.48439921278,39377.04231886264
2025-05-15,38942.83513446926,35827.4065433481,38972.8633119332
2025-05-16,11470.712037442601,11332.98970804761,11327.888078386419
2025-05-17,12937.026793620673,12652.167012556705,12997.150303682673
2025-05-18,37352.274644585596,37411.04470574075,37591.800060062604
2025-05-19,36932.175140667416,36580.93768578901,36976.082040474415
2025-05-20,65694.5066023212,39061.07282494844,41781.10358731344
2025-05-21,57866.970769921485,37865.88960742461,40258.857194407894
2025-05-22,39128.88705881613,34472.09496299296,34708.450673939944
2025-05-23,11546.42271886847,11829.20775750212,11878.966307220462
2025-05-24,11411.06135853764,11747.219153200134,11784.93939549964
2025-05-25,39146.420168205725,35221.814747058364,39168.441736092725
2025-05-26,63451.114897291845,39114.199572808284,38515.18455851274
2025-05-27,51309.20557526281,35268.291260225196,38525.68317137054
2025-05-28,40679.33027874708,36154.7417882984,41021.388749249745
2025-05-29,49403.67361648674,39531.621677310795,41557.16025528433
2025-05-30,11613.4398276018,12135.550781579801,11830.2920592078
2025-05-31,11795.90583906692,11552.158209921747,11808.71194477792
2025-06-01,71073.24200602225,65305.25952935539,73954.81223319951
2025-06-02,63863.77628502755,55188.47353320838,58570.37091729431
2025-06-03,66890.455312965,58659.20792192128,61724.72334025172
2025-06-04,60992.78755295204,56898.469640021394,57654.68779208349
2025-06-05,64074.147650724524,53831.9994703385,62954.82114851652
2025-06-06,30574.342039631014,26480.015543428137,28659.76096485729
2025-06-07,23810.789110794227,20237.354467161596,23810.789110794227
2025-06-08,56610.64703075123,50365.17098471048,48883.892527050775
2025-06-09,56668.082969014366,55214.697750245716,56652.661257234366
2025-06-10,67119.93006758283,55859.83672740077,67119.93006758283
2025-06-11,74986.56997579275,60969.36344952885,71607.77654802697
2025-06-12,54919.9677613841,53726.275672139745,54919.9677613841
2025-06-13,19200.4017722568,18749.990245413897,19200.4017722568
2025-06-14,17770.7735015166,18155.06460640956,17817.5900615166
2025-06-15,70629.37695037125,53695.16429782748,53360.70420507756
2025-06-16,67012.34130678544,55602.923520536286,56121.54076264568
2025-06-17,78242.28450306835,57688.20145846031,60118.96552428272
2025-06-18,56340.18537142522,54961.31501528554,56150.92701624724
2025-06-19,63549.088460579915,54357.55157016897,54533.83677847328
2025-06-20,17264.117605205698,17162.2697934122,17505.2403582937
2025-06-21,16606.9582430667,16638.465108566295,16590.259338193697
2025-06-22,59079.64054992124,50298.75101165218,51901.96612407711
2025-06-23,54166.58256723007,49863.17248881725,53661.241585260075
2025-06-24,60624.61241318609,58322.70126854942,59968.10798989706
2025-06-25,68190.09473890775,52899.04761640943,52682.44915438923
2025-06-26,60046.89734941699,49743.173576998524,49952.08334652213
2025-06-27,17083.672397950668,17528.814522965753,17083.672397950668
2025-06-28,15896.829318705399,16111.40184554336,15896.829318705399
2025-06-29,75419.20652743455,53083.61736550343,52937.635752884205
2025-06-30,50148.62732969999,50557.8811600463,50148.62732969999
2025-07-01,170248.4208640088,76396.26803783048,79479.07536764987
2025-07-02,92709.1997214064,63438.837494786945,66390.90065416007
2025-07-03,65708.4768600878,67316.7624512618,68465.0390072517
2025-07-04,42970.640254173835,31335.017485608307,31794.515201724244
2025-07-05,34009.088566581864,26495.353974775382,30482.41534640487
2025-07-06,115303.5238904354,72234.3410052937,73923.05090372633
2025-07-07,60641.07419147309,59477.27413727569,59251.58638743009
2025-07-08,66621.85868381282,64309.11230309551,66621.85868381282
2025-07-09,62809.259092629065,60363.272484286135,62809.259092629065
2025-07-10,68332.73381697686,60249.15792690202,66435.35688536249
2025-07-11,28126.67282935972,36336.9191190151,28126.67282935972
2025-07-12,23890.665775045192,26153.396874647548,24952.942779824047
2025-07-13,60058.99327857481,60007.80891036901,67386.09576316937
2025-07-14,62662.96900672694,58286.25709846734,62934.81338067194
2025-07-15,58814.310730667916,59872.65264254395,58814.310730667916
2025-07-16,59362.552416822335,58427.98207225283,59362.552416822335
2025-07-17,74169.44433984163,60948.380642965494,61481.51946875604
2025-07-18,24508.987279214,24531.629913029188,24508.987279214
2025-07-19,25848.921557911315,25677.425025093315,25848.921557911315
2025-07-20,57945.8005071956,58540.9984263888,58330.768654320804
2025-07-21,60466.09334160599,60795.453597686435,60314.45437897399
2025-07-22,79287.77132973968,61628.875945513995,68697.27910274001
2025-07-23,65323.26933541731,61898.73782856656,85223.02650387099
2025-07-24,63852.14478540437,61596.26427238902,62015.01924131283
2025-07-25,23828.306370742343,25613.5003710678,23842.630454655868
2025-07-26,23658.879373372958,23695.207790036533,23649.503386385957
2025-07-27,74686.95742050963,59669.60244171767,62237.533826340456
2025-07-28,73868.00296141588,62942.663029855285,64470.11196268149
2025-07-29,88754.88354831525,63431.27828449696,64252.09012600969
2025-07-30,115999.53307288648,63665.768798199,63109.55555416999
2025-07-31,90522.04972608702,62103.75960700594,64860.755317995994
2025-08-01,23863.03802351153,23491.502062757867,23461.860465764243
2025-08-02,23608.601874565127,24067.847971866082,23560.673248527124
2025-08-03,59574.27378055141,53691.305264034745,55625.57978272831
2025-08-04,52053.201970247,53724.248858635,53426.383348088995
2025-08-05,63038.927655540036,51564.57063405061,52983.486121943046
2025-08-06,59772.22219277905,56424.53726017644,65808.8844339427
2025-08-07,59098.39671169633,54418.31195060556,54580.539474363526
2025-08-08,21816.788595943726,23239.263834248544,21759.202026823732
2025-08-09,21768.131511187286,22242.119099655923,21768.131511187286
2025-08-10,54601.88991884489,53148.29803066738,54601.88991884489
2025-08-11,60466.40059151228,54064.27113072958,54007.557631166805
2025-08-12,64310.624400393746,55972.02849416226,56271.60214206089
2025-08-13,78695.11512275388,53818.026683446915,53706.90347301349
2025-08-14,60151.87336173376,55759.34823895566,57551.25899320631
2025-08-15,23166.92831431901,23159.222574622632,23030.604330422262
2025-08-16,25863.290264647185,24779.997900625625,24613.74109675972
2025-08-17,56709.73808064497,53683.341865347604,56695.871735424975
2025-08-18,53179.56747046528,53849.955047351265,55288.176915241624
2025-08-19,57143.87428082057,53491.19553026715,52189.67735630364
2025-08-20,66083.66887709557,59569.37314351878,73859.30024281764
2025-08-21,54574.03384470329,54058.89477923135,54181.294758735465
2025-08-22,25732.473189338056,24948.296560343,26115.026100692674
2025-08-23,24966.72028949713,22218.463754592052,24956.67556688713
2025-08-24,53659.3467467201,53316.018354992266,67687.88308070228
2025-08-25,65096.90426487333,60104.14652309683,60368.116067188
2025-08-26,57227.65928164959,52812.061303196875,57283.95215046882
2025-08-27,77203.81083612092,55211.348018554214,55993.38290761837
2025-08-28,94136.99837533044,61019.548462587096,61078.722212373395
2025-08-29,23495.1350648227,23780.364831749586,23493.6099292127
2025-08-30,23892.940474093768,23879.122377835098,23892.940474093768
2025-08-31,65156.678664747764,54547.43977665909,56759.43935450729
2025-09-01,49469.749421231,45703.75737413565,48077.900812535016
2025-09-02,42457.609073374646,37186.58581465223,40322.06786416584
2025-09-03,43828.963181915846,40703.34265388629,40488.98401463305
2025-09-04,42166.02726710403,39845.63943888531,40124.6714902469
2025-09-05,18513.252920704,16935.729819849,16821.887819701897
2025-09-06,14372.366669688003,14663.168113465303,15109.608015243
2025-09-07,52653.63380401045,42329.13789641671,45470.494174394255
