slot,time_start,time_end,hour_start,hour_end,load_kw,pv_kw,net_load_kw,price_yuan_per_kwh,planned_purchase_kwh,adjusted_purchase_kwh,planned_purchase_kw,adjusted_purchase_kw,charge_kwh,discharge_kwh,charge_kw,discharge_kw,storage_net_output_kw,emergency_purchase_kwh,emergency_purchase_kw,curtailed_pv_kwh,curtailed_pv_kw,soc_start_kwh,soc_end_kwh,soc_min_kwh,soc_max_kwh,plan_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan,total_cost_yuan,plan_source_cell,adjusted_source_cell
0,00:00,00:10,0.0,0.16666666666666666,3230.95,0.0,3230.95,0.4276,536.27085,536.27085,3217.6251,3217.6251,0.0,2.2208166666665647,0.0,13.324899999999388,13.324899999999388,0.0,0.0,0.0,0.0,2229.332312925927,2226.864738851853,1200.0,10800.0,229.30941546,0.0,0.0,229.30941546,计划购电量!EO141,调整购电量!EO141
1,00:10,00:20,0.16666666666666666,0.3333333333333333,3087.9838,0.0,3087.9838,0.4248,553.70502,553.70502,3322.23012,3322.23012,39.041053333333366,0.0,234.2463200000002,0.0,-234.2463200000002,0.0,0.0,0.0,0.0,2226.864738851853,2262.001686851853,1200.0,10800.0,235.213892496,0.0,0.0,235.213892496,计划购电量!B142,调整购电量!B142
2,00:20,00:30,0.3333333333333333,0.5,3200.0919,0.0,3200.0919,0.4245,959.4233,959.4233,5756.5398000000005,5756.5398000000005,426.07465000000013,0.0,2556.447900000001,0.0,-2556.447900000001,0.0,0.0,0.0,0.0,2262.001686851853,2645.468871851853,1200.0,10800.0,407.27519085,0.0,0.0,407.27519085,计划购电量!C142,调整购电量!C142
3,00:30,00:40,0.5,0.6666666666666666,3401.46,0.0,3401.46,0.4269,521.27118,521.27118,3127.6270799999998,3127.6270799999998,0.0,45.63882000000001,0.0,273.83292000000006,273.83292000000006,0.0,0.0,0.0,0.0,2645.468871851853,2594.7590718518527,1200.0,10800.0,222.530666742,0.0,0.0,222.530666742,计划购电量!D142,调整购电量!D142
4,00:40,00:50,0.6666666666666666,0.8333333333333333,3063.5261,0.0,3063.5261,0.4272,534.02225,534.02225,3204.1335,3204.1335,23.434566666666683,0.0,140.6074000000001,0.0,-140.6074000000001,0.0,0.0,0.0,0.0,2594.7590718518527,2615.8501818518525,1200.0,10800.0,228.1343052,0.0,0.0,228.1343052,计划购电量!E142,调整购电量!E142
5,00:50,01:00,0.8333333333333333,1.0,2820.2572,0.0,2820.2572,0.4271,538.57189,538.57189,3231.4313400000005,3231.4313400000005,68.52902333333338,0.0,411.1741400000003,0.0,-411.1741400000003,0.0,0.0,0.0,0.0,2615.8501818518525,2677.5263028518525,1200.0,10800.0,230.02405421900002,0.0,0.0,230.02405421900002,计划购电量!F142,调整购电量!F142
6,01:00,01:10,1.0,1.1666666666666665,2883.38,0.0,2883.38,0.4285,522.54228,522.54228,3135.2536800000003,3135.2536800000003,41.97894666666667,0.0,251.87368000000004,0.0,-251.87368000000004,0.0,0.0,0.0,0.0,2677.5263028518525,2715.3073548518523,1200.0,10800.0,223.90936698,0.0,0.0,223.90936698,计划购电量!G142,调整购电量!G142
7,01:10,01:20,1.1666666666666665,1.3333333333333333,2869.9796,0.0,2869.9796,0.4311,523.85951,523.85951,3143.15706,3143.15706,45.529576666666685,0.0,273.1774600000001,0.0,-273.1774600000001,0.0,0.0,0.0,0.0,2715.3073548518523,2756.2839738518524,1200.0,10800.0,225.835834761,0.0,0.0,225.835834761,计划购电量!H142,调整购电量!H142
8,01:20,01:30,1.3333333333333333,1.5,2985.8287,0.0,2985.8287,0.4302,529.35399,529.35399,3176.12394,3176.12394,31.71587333333332,0.0,190.29523999999992,0.0,-190.29523999999992,0.0,0.0,0.0,0.0,2756.2839738518524,2784.828259851852,1200.0,10800.0,227.72808649799998,0.0,0.0,227.72808649799998,计划购电量!I142,调整购电量!I142
9,01:30,01:40,1.5,1.6666666666666665,3164.18,0.0,3164.18,0.4279,502.35982,502.35982,3014.1589200000003,3014.1589200000003,0.0,25.003513333333217,0.0,150.0210799999993,150.0210799999993,0.0,0.0,0.0,0.0,2784.828259851852,2757.0465783703708,1200.0,10800.0,214.959766978,0.0,0.0,214.959766978,计划购电量!J142,调整购电量!J142
